slNo,signal_id,platform_code,datetime,pumpStatus,inletTemp,ctdTemp,longitude,latitude
0,dd903d66-4e5a-4a07-8579-b15fb6fc9841,FA,2020-03-05T00:00:50,1.0,5.292,5.882,11.5906,57.2312
1,d20d2133-a6ea-4d7e-a1f9-0830cfb04427,FA,2020-03-05T00:01:51,1.0,5.326,5.883,11.5873,57.2363
2,8e22bfd8-23d8-40c7-82e6-705bdc07d0a9,FA,2020-03-05T00:02:51,1.0,5.325,5.877,11.584,57.2414
3,3b3eca75-c414-41c8-be79-3db377a902f6,FA,2020-03-05T00:03:51,1.0,5.316,5.886,11.5806,57.2465
4,82422d59-4196-425e-89fb-0e753dcde6f0,FA,2020-03-05T00:04:51,1.0,5.339,5.9,11.5774,57.2516
5,af84084d-05ac-428f-b152-81d1cb7599ef,FA,2020-03-05T00:05:51,1.0,5.331,5.905,11.574,57.2567
6,57c4cbaa-c4b8-4d2a-a6f2-bb5faee6701e,FA,2020-03-05T00:06:51,1.0,5.339,5.913,11.5707,57.2618
7,f6bcb7f8-4d07-42bf-ad86-a5c87b0d2a36,FA,2020-03-05T00:07:51,1.0,5.327,5.914,11.5674,57.2669
8,9c699bfa-683e-4f32-bd75-414d3b19a5af,FA,2020-03-05T00:08:51,1.0,5.318,5.924,11.5642,57.2719
9,a008af13-2627-4b1c-8b82-648303d46031,FA,2020-03-05T00:09:51,1.0,5.315,5.912,11.5608,57.277
10,8dfc2059-5d38-4c8a-aae7-c2bbba9a8077,FA,2020-03-05T00:10:52,1.0,5.324,5.912,11.5575,57.2821
11,ae6e8690-3ec9-4798-b726-d27aa31240ca,FA,2020-03-05T00:11:52,1.0,5.328,5.915,11.554,57.2872
12,075f1d1d-04e1-4274-8053-5b7a03e35db0,FA,2020-03-05T00:12:52,1.0,5.335,5.909,11.5503,57.2922
13,f69916a6-fa3b-4cfb-b2c2-99025b86b072,FA,2020-03-05T00:13:52,1.0,5.342,5.915,11.5466,57.2973
14,995209ff-de9b-4e8c-8945-ca3ac1eb8357,FA,2020-03-05T00:14:52,1.0,5.34,5.922,11.543,57.3024
15,197425bd-6c3e-48eb-ac9f-7a93bf45a1fb,FA,2020-03-05T00:15:52,1.0,5.344,5.924,11.5393,57.3075
16,fa015508-0fcb-4e92-b9ef-c5c1b806aaae,FA,2020-03-05T00:16:52,1.0,5.316,5.933,11.536,57.3127
17,afad8f70-664a-49aa-b9e4-63d9080bb51f,FA,2020-03-05T00:17:52,1.0,5.285,5.9350000000000005,11.5334,57.3179
18,194e4c8a-b284-4cef-b7e6-f83ad8b3b259,FA,2020-03-05T00:18:52,1.0,5.284,5.925,11.5308,57.3232
19,efdb83c4-2b05-45f2-a79b-9108f4f57911,FA,2020-03-05T00:19:52,1.0,5.301,5.913,11.5284,57.3285
20,ead75118-f520-4f72-ae43-49d6b560e2ad,FA,2020-03-05T00:20:53,1.0,5.249,5.902,11.5259,57.3338
21,d9f81b51-55b2-4407-9567-dfb87f79c683,FA,2020-03-05T00:21:53,1.0,5.271,5.89,11.5234,57.3391
22,a2394c88-7466-4193-bc09-db9a066109a4,FA,2020-03-05T00:22:53,1.0,5.351,5.876,11.5209,57.3445
23,8c818bfc-4110-4ed6-9180-968d2741a979,FA,2020-03-05T00:23:53,1.0,5.319,5.873,11.5185,57.3497
24,2518b103-0114-47c5-9537-1834c8570e31,FA,2020-03-05T00:24:53,1.0,5.318,5.893,11.5159,57.3551
25,fa86e9a0-49b8-11eb-841f-0711e01aa16c,FA,2020-03-05T00:25:53,1.0,5.207,5.905,11.5135,57.3605
26,5e3a8921-b850-4438-bce2-06b14c8cccf7,FA,2020-03-05T00:25:53,1.0,5.307,5.905,11.5135,57.3605
27,38b217a3-de60-4c8e-a7e0-333bec4532f7,FA,2020-03-05T00:26:53,1.0,5.289,5.909,11.5111,57.3658
